url,entry_count,start_date,end_date,update_date,name,description
https://gleam.io/yPled/-,8,1578384000,1581062399,1579359408,Mwezzi 1st Robux Giveaway,
https://gleam.io/N7Lma/-,4862,1574805600,1580507999,1579359184,Giveaway - IPHONE X 64 GB by Magazin GSM - LA 30K SUBS,Giveaway - IPHONE X 64 GB by Magazin GSM - LA 30K SUBS
https://gleam.io/kv2wg/-,70,1579104000,1580486399,1579359645,100K SUB! Giveaway,
https://gleam.io/Sjduk/-,54,1579113000,1579976999,1579359400,PlayerOne,
https://gleam.io/lPeS9/-,1901030,1579136100,1579784400,1579359749,The Walking Dead: Saints \u0026 Sinners,18+ OnlyWorldwide entryMultiple WinnersThis giveaway will have 
https://gleam.io/mXzld/-,159,1577941200,1580965199,1579359661,Win my tshirt,win a tshirt from our merch store...ooo wow
https://gleam.io/d9v8v/-,615,1578805200,1585972799,1579359773,Resident Evil 3 Remake GIVEAWAY!,"WINNER will receive $60 Gift Card Nintendo,Xbox or Playstation WINNER decide which card he want and however he want to spend it!⚠️Subscribe to both Channel because the winners will be announce there⚠️ "
https://gleam.io/VV1VH/-,2045,1577080800,1579240799,1579359853,SORTEO DE PASE DE BATALLA O TARJETA GOOGLE PLAY X FESTEJO DE 100 SUSCRIPTORES,1er lugar .- tarjeta google play equivalente al pase de batalla2do .- maruchan de sabor a elegir3er .- 
https://gleam.io/YcvMW/-,8965,1579183200,1581861599,1579359416,DarkViperAU&#39;s Challenge Me To Anything For 200 USD Giveaway,
https://gleam.io/Jpn8u/-,322,1575964800,1580716799,1579359605,SORTEIO 1000 INSCRITOS CANAL WITTEE,
https://gleam.io/J3Xqj/-,2441,1579132800,1581811199,1579359949,Space 3D Prototype Giveaway,
https://gleam.io/cMj36/-,107,1578038400,1580716799,1579359781,De Camino A Los 500 Subscriptores,El juego que se estara regalando sera una copia fisica de Tiny Troopers XL para la Nintendo Switch.
https://gleam.io/prome/-,16196,1578960000,1579391999,1579360044,Trains Gloves Giveaway,
https://gleam.io/Mnxpi/-,76,1569090600,1580495399,1579360068,rKhurana Gaming Amazon Giveaway,"Rs 500 - Amazon Pay Gift CardThere are only two rules for this competition: Visit and subscribe to my YouTube channel from below link.  Visit and follow my instagram handle from below link.Winner will be announced once end date is reached or we reach 500 subscribers, whichever comes first. Announcement will me made on Instagram and Youtube. Stay tuned \u0026#128519;Thanks for your support."
https://gleam.io/7Q5lO/-,58,1577768400,1580533199,1579359527,#DIAMUARY GIVEAWAY,1. A box full of a few of my favorite things.2. $50 gift card of your choice +goodies 
https://gleam.io/oJnMv/-,0,1574064000,1574582399,1579359463,3D Scanned,Invite 10 friends and get yourself scanned and turned into a hologram for free!  
https://gleam.io/fOqt5/-,446,1574035200,1576570318,1579359597,TomFM 14K FM20 Giveaway,"Win a copy of Football Manager 2020 by helping me reach 20,000 subscribers by January 1st 2020! "
https://gleam.io/aJHqw/-,58,1558998000,1577836799,1579359757,3 × £10 gift cards giveaway,
https://gleam.io/0beBI/-,2155,1577836800,1583711999,1579359933,Ma77 City Skylines Giveaway (Ends on me b&#39;day),
